date,time,network,video,caption,hashtags
2026-09-22,11:00,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab f24aF - Que idioma tiene mas.mp4,"20 € de premio este sábado. ¿Qué idioma tiene más hablantes nativos? ¿La sabías? Dilo en comentarios. Los que más aguantan, cobran. Sábado 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral"
2026-09-22,14:30,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab f66aF - Cual es el elemento.mp4,"20 € de premio este sábado. ¿Cuál es el elemento químico con símbolo Au? ¿La sabías? Dilo en comentarios. Los que más aguantan, cobran. Sábado 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #ciencia"
2026-09-22,19:00,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab f92aF - Cuantas patas tiene una.mp4,"20 € de premio este sábado. ¿Cuántas patas tiene una araña? ¿La sabías? Dilo en comentarios. Los que más aguantan, cobran. Sábado 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #animales"
2026-09-23,11:00,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab f41a - Cual es la moneda.mp4,"20 € de premio este sábado. ¿Cuál es la moneda de Japón? ¿La sabías? Dilo en comentarios. Los que más aguantan, cobran. Sábado 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #geografia"
2026-09-23,14:30,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab f58aF - Que instrumento mide la.mp4,"20 € de premio este sábado. ¿Qué instrumento mide la presión atmosférica? ¿La sabías? Dilo en comentarios. Los que más aguantan, cobran. Sábado 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #ciencia"
2026-09-23,19:00,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab f39a - Que organo produce la.mp4,"20 € de premio este sábado. ¿Qué órgano produce la insulina? ¿La sabías? Dilo en comentarios. Los que más aguantan, cobran. Sábado 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #ciencia"
2026-09-24,11:00,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab f18aC - Cual de estos paises.mp4,"20 € de premio este sábado. ¿Cuál de estos países NO tiene frontera con Alemania? ¿A, B, C o D? Deja tu respuesta en comentarios 👇 Los que más aguantan, cobran. Sábado 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral"
2026-09-24,14:30,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab f98aF - En que pais se.mp4,"20 € de premio este sábado. ¿En qué país se inventó el papel? ¿La sabías? Dilo en comentarios. Los que más aguantan, cobran. Sábado 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #historia"
2026-09-24,19:00,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab f47a - Que vitamina produce la.mp4,"20 € de premio este sábado. ¿Qué vitamina produce la piel con el sol? ¿La sabías? Dilo en comentarios. Los que más aguantan, cobran. Sábado 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #ciencia"
2026-09-25,11:00,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab f08a - Cual es la capital.mp4,"20 € de premio este sábado. ¿Cuál es la capital de Australia? Esta cae en la partida. Deja tu respuesta en comentarios. Los que más aguantan, cobran. Sábado 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral"
