date,time,network,video,caption,hashtags
2026-09-22,15:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Real e06 EN - What colour is a.mp4,"€20 prize this Saturday. What colour is a plane's black box? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #funfacts"
2026-09-22,19:30,tiktok;instagram;youtube;x;threads;bluesky,videos/Real e09 EN - In a pride of.mp4,"€20 prize this Saturday. In a pride of lions, who does most of the hunting? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #funfacts"
2026-09-22,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Real e04 EN - Which country is mount.mp4,"€20 prize this Saturday. Which country is mount kilimanjaro in? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #funfacts"
2026-09-23,15:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f103a EN - Who did Spain beat.mp4,"€20 prize this Saturday. Who did Spain beat in the 2026 World Cup final? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #football #worldcup2026"
2026-09-23,19:30,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f107a EN - Which video game is.mp4,"€20 prize this Saturday. Which video game is Freddy Fazbear from? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #gaming #halloween"
2026-09-23,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Real e05 EN - Which country produces the.mp4,"€20 prize this Saturday. Which country produces the most coffee? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #funfacts"
2026-09-24,15:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Real e08 EN - Which us state is.mp4,"€20 prize this Saturday. Which us state is the kilauea volcano in? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #funfacts"
2026-09-24,19:30,tiktok;instagram;youtube;x;threads;bluesky,videos/Real e02 EN - How many earths fit.mp4,"€20 prize this Saturday. How many earths fit inside the sun? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #funfacts"
2026-09-24,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Real e11 EN - What is a sharks.mp4,"€20 prize this Saturday. What is a shark's skeleton made of? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #funfacts"
2026-09-25,15:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f102aF EN - How many World Cups.mp4,"€20 prize this Saturday. How many World Cups has Spain won? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #football #worldcup"
2026-09-25,19:30,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f108aF EN - Which country is Pope.mp4,"€20 prize this Saturday. Which country is Pope Leo XIV, who visited Spain in June, from? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #news #pope"
2026-09-25,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f106aF EN - What does farming aura.mp4,"€20 prize this Saturday. What does 'farming aura' mean? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #tiktok #trends"
2026-09-26,15:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Real e12 EN - Which is the largest.mp4,"€20 prize this Saturday. Which is the largest ocean on earth? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #funfacts"
2026-09-26,19:30,tiktok;instagram;youtube;x;threads;bluesky,videos/Real e10 EN - What is the aurora.mp4,"€20 prize this Saturday. What is the aurora in the southern hemisphere called? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #funfacts"
2026-09-26,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Real e07 EN - How many times hotter.mp4,"€20 prize this Saturday. How many times hotter than the sun's surface can lightning be? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #funfacts"
2026-09-27,15:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Real e03 EN - How many bones is.mp4,"€20 prize this Saturday. How many bones is a baby born with? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #funfacts"
2026-09-27,19:30,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f87a EN - Which planet has the.mp4,"€20 prize this Saturday. Which planet has the most visible rings? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #space"
2026-09-27,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab e06 EN - How many minutes are.mp4,"€20 prize this Saturday. How many minutes are in a day? That's the impossible one; first an easy one and a hard one. One miss and you're out. How far did you get? Comment 1, 2 or 3 👇 Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #geography"
2026-09-28,15:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab t01 EN - How many hearts does.mp4,"€20 prize this Saturday. How many hearts does an octopus have? Plus two more before it: how many can you get? Comment your score: 0, 1, 2 or 3 👇 Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #space"
2026-09-28,19:30,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f29a EN - What is the most.mp4,"€20 prize this Saturday. What is the most populated city in the world? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz"
2026-09-28,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab e01 EN - What is the longest.mp4,"€20 prize this Saturday. What is the longest river in Europe? That's the impossible one; first an easy one and a hard one. One miss and you're out. How far did you get? Comment 1, 2 or 3 👇 Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #geography"
2026-09-29,15:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab t06 EN - Which gas is the.mp4,"€20 prize this Saturday. Which gas is the most abundant in Earth's atmosphere? Plus two more before it: how many can you get? Comment your score: 0, 1, 2 or 3 👇 Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #sports #geography"
2026-09-29,19:30,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f99a EN - What is the closest.mp4,"€20 prize this Saturday. What is the closest star to Earth? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #space"
2026-09-29,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab e10 EN - Which country has the.mp4,"€20 prize this Saturday. Which country has the largest population? That's the impossible one; first an easy one and a hard one. One miss and you're out. How far did you get? Comment 1, 2 or 3 👇 Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #space #science"
